HP,MPG,VOL,SP,WT,,,SP,,Normalized_SP,Normalized_WT,Standard_SP,Standard_WT,,,
92,38.4110033,50,114.5985128,16.04317492,,,,,-0.489496377,-2.184680439,0.214662746,0.008859255,,,
92,38.4110033,117,120.7605199,38.06282335,,,,,-0.054984031,0.75408881,0.302649177,0.599437534,,,
92,38.4110033,99,119.1050553,32.83506939,,,,,-0.171718692,0.056386364,0.279011031,0.459226488,,,
52,43.4694339,104,99.56490661,34.4832075,,,,,-1.549587251,0.276348895,0,0.503430399,,,
103,35.40419245,107,121.8408174,35.54935984,,,,,0.021192869,0.418638892,0.318074593,0.532025152,,,
84,39.4312352,114,113.4846092,37.04235003,,,,,-0.568043003,0.617895191,0.198757473,0.572067916,,,
84,39.4312352,101,112.2889958,33.23436141,,,,,-0.652351375,0.109676366,0.181685478,0.469935705,,,
102,36.28545648,97,119.9211148,31.38004084,,,,,-0.114174466,-0.137803529,0.29066343,0.420201875,,,
102,36.28545648,113,121.3926389,37.57328965,,,,,-0.010410323,0.688755043,0.311675115,0.586307989,,,
81,39.53163253,101,111.2889958,32.701644,,,,,-0.722866117,0.038579248,0.167406618,0.455647951,,,
90,37.95874317,98,115.0130851,31.9112234,,,,,-0.460262918,-0.066911254,0.220582365,0.434448464,,,
90,37.95874317,88,114.0933825,28.75400008,,,,,-0.52511551,-0.488278145,0.207450061,0.349770114,,,
102,34.07066829,86,116.909442,27.87991549,,,,,-0.326541799,-0.604934545,0.247660178,0.326326716,,,
102,34.07066829,86,116.909442,28.63050247,,,,,-0.326541799,-0.504760287,0.247660178,0.346457844,,,
130,31.01413094,92,128.4612635,30.11543403,,,,,0.488031923,-0.306579502,0.412607011,0.386284471,,,
95,35.15272697,113,116.3926389,37.39252442,,,,,-0.362984037,0.664629894,0.24028082,0.581459773,,,
95,35.15272697,106,115.7488471,35.02717556,,,,,-0.40838085,0.348947538,0.231088207,0.518019902,,,
102,34.07066829,92,117.4612635,30.52742698,,,,,-0.287630248,-0.251594419,0.25553956,0.397334334,,,
95,35.15272697,88,114.0933825,28.34397592,,,,,-0.52511551,-0.543000471,0.207450061,0.338773055,,,
93,35.64355765,102,114.3809661,33.07863163,,,,,-0.504836627,0.088892479,0.211556427,0.465758953,,,
100,34.56149897,99,117.1050553,32.62191589,,,,,-0.312748178,0.027938637,0.250453313,0.453509602,,,
100,34.56149897,111,118.2086984,36.49861738,,,,,-0.234925068,0.545327966,0.266212077,0.557484727,,,
98,35.05232964,103,116.4729364,33.91005598,,,,,-0.357321879,0.199855391,0.241427376,0.488058181,,,
130,31.01413094,86,127.909442,28.07059654,,,,,0.449120372,-0.579486018,0.404727629,0.33144088,,,
115,29.62993595,101,118.2889958,33.45847152,,,,,-0.229262918,0.139586376,0.267358633,0.475946454,,,
115,29.62993595,101,118.2889958,33.21395395,,,,,-0.229262918,0.106952761,0.267358633,0.469388367,,,
115,29.62993595,101,118.2889958,33.43671117,,,,,-0.229262918,0.136682213,0.267358633,0.47536283,,,
115,29.62993595,124,120.4043117,40.39816357,,,,,-0.080101961,1.065766177,0.29756293,0.662072558,,,
180,24.48736667,113,143.3926389,37.62069475,,,,,1.540914019,0.695081786,0.625810017,0.587579418,,,
160,26.85227868,113,135.3926389,37.25439197,,,,,0.976796076,0.646194568,0.511579144,0.577754989,,,
130,27.85625194,124,126.4043117,40.58906845,,,,,0.342986496,1.091244576,0.383236086,0.667192725,,,
96,31.11358394,92,110.4612635,30.14754329,,,,,-0.781233448,-0.302294161,0.155587546,0.387145658,,,
115,29.62993595,101,118.2889958,32.73451818,,,,,-0.229262918,0.042966676,0.267358633,0.456529653,,,
100,30.13192258,94,112.6452041,30.61528334,,,,,-0.627233438,-0.239869001,0.186771726,0.399690686,,,
100,28.8602252,115,115.5765794,37.66287367,,,,,-0.420528263,0.700711036,0.228628421,0.588710678,,,
145,27.35426531,111,130.2086984,36.88815313,,,,,0.611251845,0.597315884,0.437558387,0.567932276,,,
120,24.60913156,116,117.6685497,37.86041143,,,,,-0.273013515,0.727074668,0.25849937,0.594008743,,,
140,23.51591693,131,126.0481035,43.3909885,,,,,0.317868566,1.465192257,0.378149839,0.74234166,,,
140,23.51591693,123,125.3123415,40.72283115,,,,,0.265986498,1.109096709,0.367643997,0.670780309,,,
150,23.60515831,121,128.128401,40.15948186,,,,,0.464560209,1.033911423,0.407854114,0.655670992,,,
165,40.05,50,126.5985128,15.71285853,,,,,0.356680536,-2.228764869,0.386009056,0,,,
165,23.10317168,114,132.4846092,37.97995604,,,,,0.77173711,0.743029238,0.470055797,0.59721499,,,
165,23.10317168,127,133.6802225,41.57397476,,,,,0.856045474,1.222691378,0.487127791,0.693608418,,,
165,23.10317168,123,133.3123415,40.47204238,,,,,0.83010444,1.075626133,0.48187487,0.664054026,,,
245,21.27370792,112,158.3006687,37.14173328,,,,,2.592149906,0.631159001,0.838679675,0.574733425,,,
280,19.67850666,50,164.5985128,15.82306042,,,,,3.036240763,-2.21405719,0.928605704,0.002955671,,,
162,23.203569,135,133.4159845,44.01313857,,,,,0.8374128,1.548225168,0.483354774,0.759028044,,,
162,23.203569,132,133.1400738,43.35312292,,,,,0.817957028,1.460138671,0.479415084,0.741326085,,,
140,19.08634055,160,124.7152409,52.99775236,,,,,0.223882103,2.747322729,0.359118081,1,,,
140,19.08634055,129,121.864163,42.61869847,,,,,0.022839078,1.362121484,0.318407942,0.721628445,,,
175,18.76283667,129,132.864163,42.77821864,,,,,0.798501249,1.383411241,0.475475392,0.725906857,,,
322,36.9,50,169.5985128,16.13294744,,,,,3.388814477,-2.172699289,1,0.011267,,,
238,19.1978876,115,150.5765794,37.92311321,,,,,2.047487735,0.735442924,0.728388492,0.595690436,,,
263,34,50,151.5985128,15.76962542,,,,,2.119549106,-2.221188691,0.742980535,0.001522517,,,
295,19.83373318,119,167.9444604,39.42309899,,,,,3.272179397,0.935632863,0.976382019,0.635920825,,,
236,12.10126289,107,139.8408174,34.94861469,,,,,1.290458239,0.338462708,0.575094058,0.515912859,,,
